Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,Regime
S-456,2023-04-06 05:45:00,LONG,2009.24,1949.36,1992.91,WIN,27.27,SIDEWAY_ADV
S-457,2023-04-06 07:35:00,LONG,2011.87,1949.36,1993.57,WIN,29.28,SIDEWAY_ADV
S-458,2023-04-06 20:30:00,LONG,2009.27,1949.36,1992.92,WIN,27.29,SIDEWAY_ADV
S-459,2023-04-10 05:35:00,LONG,1991.98,1949.36,1989.02,WIN,6.93,SIDEWAY_ADV
S-460,2023-04-11 02:30:00,SHORT,1992.29,2032.66,1977.81,EXPIRED,0.0,SIDEWAY_ADV
S-461,2023-04-12 21:15:00,SHORT,2016.37,2032.66,1984.33,LOSS,-100.0,SIDEWAY_ADV
S-462,2023-04-13 02:25:00,SHORT,2016.7,2028.75,1984.41,LOSS,-100.0,SIDEWAY_ADV
S-463,2023-04-13 02:30:00,SHORT,2017.09,2028.75,1984.51,LOSS,-100.0,SIDEWAY_ADV
S-464,2023-04-13 03:00:00,SHORT,2018.58,2028.75,1984.88,LOSS,-100.0,SIDEWAY_ADV
S-465,2023-04-13 15:45:00,SHORT,2039.73,2046.27,1990.91,LOSS,-100.0,SIDEWAY_ADV
S-466,2023-04-13 22:00:00,LONG,2037.33,1981.31,1998.3,WIN,69.67,SIDEWAY_ADV
S-467,2023-04-14 13:00:00,SHORT,2039.54,2039.54,1992.25,WIN,495.77,SIDEWAY_ADV
S-468,2023-04-17 22:45:00,SHORT,1995.28,2049.07,1989.26,WIN,11.18,SIDEWAY_ADV
S-469,2023-04-19 15:50:00,SHORT,1980.27,2049.07,1992.8,WIN,18.21,SIDEWAY_ADV
S-470,2023-04-19 16:30:00,SHORT,1985.44,2049.07,1994.09,WIN,13.59,SIDEWAY_ADV
S-471,2023-04-24 02:25:00,SHORT,1984.73,2012.79,1989.01,WIN,15.24,SIDEWAY_ADV
S-472,2023-04-24 07:15:00,LONG,1980.8,1980.8,2002.77,LOSS,-100.0,SIDEWAY_ADV
S-473,2023-04-24 22:10:00,SHORT,1988.84,2012.79,1979.75,WIN,37.95,SIDEWAY_ADV
S-474,2023-04-25 19:10:00,SHORT,1991.37,2012.79,1990.67,WIN,3.28,SIDEWAY_ADV
S-475,2023-04-26 02:35:00,SHORT,2000.65,2012.79,1992.99,WIN,63.12,SIDEWAY_ADV
S-476,2023-04-26 06:25:00,LONG,1994.79,1971.19,2003.96,WIN,38.84,SIDEWAY_ADV
S-477,2023-05-02 17:20:00,SHORT,2003.19,2013.42,1985.51,LOSS,-100.0,SIDEWAY_ADV
S-478,2023-05-04 05:35:00,LONG,2040.84,1975.74,2015.33,WIN,39.18,SIDEWAY_ADV
