Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,H1_Trend,Regime
2533,2024-06-07 08:00:00,N/A,N/A,N/A,N/A,WIN,17.92,UNKNOWN,TREND
2538,2024-06-07 08:00:00,LONG,2387.49,2384.93,2391.3299999999995,OPEN,0,BULLISH,TREND
2537,2024-06-07 08:05:00,N/A,N/A,N/A,N/A,WIN,61.57,UNKNOWN,TREND
2538,2024-06-07 08:05:00,N/A,N/A,N/A,N/A,LOSS,-167.68,UNKNOWN,TREND
2539,2024-06-07 08:05:00,LONG,2384.94,2382.0985714285716,2389.2021428571425,OPEN,0,BULLISH,TREND
2539,2024-06-07 08:10:00,N/A,N/A,N/A,N/A,LOSS,-109.68,UNKNOWN,TREND
2543,2024-06-07 08:25:00,LONG,2383.3,2379.611428571429,2388.8328571428574,OPEN,0,BULLISH,TREND
2543,2024-06-07 08:30:00,N/A,N/A,N/A,N/A,LOSS,-26.43,UNKNOWN,SIDEWAY
2574,2024-06-07 11:00:00,SHORT,2358.33,2363.56,2350.485,OPEN,0,BEARISH,TREND
2575,2024-06-07 11:05:00,SHORT,2357.16,2363.645714285714,2347.4314285714286,OPEN,0,BEARISH,TREND
2574,2024-06-07 11:10:00,N/A,N/A,N/A,N/A,WIN,11.93,UNKNOWN,TREND
2576,2024-06-07 11:10:00,SHORT,2351.17,2358.6842857142856,2339.8985714285714,OPEN,0,BEARISH,TREND
2575,2024-06-07 11:15:00,N/A,N/A,N/A,N/A,WIN,73.68,UNKNOWN,TREND
2581,2024-06-07 11:35:00,SHORT,2347.06,2356.152857142857,2333.420714285714,OPEN,0,BEARISH,TREND
2576,2024-06-07 11:40:00,N/A,N/A,N/A,N/A,WIN,43.57,UNKNOWN,TREND
2587,2024-06-07 12:05:00,SHORT,2343.84,2354.7585714285715,2327.462142857143,OPEN,0,BEARISH,TREND
2581,2024-06-07 12:10:00,N/A,N/A,N/A,N/A,WIN,28.98,UNKNOWN,TREND
2590,2024-06-07 12:20:00,SHORT,2341.33,2348.7771428571427,2330.1592857142855,OPEN,0,BEARISH,TREND
